"NMDA-dependent modulation of CA1 local circuit inhibition","1996"
"Interneuronal mechanisms of hippocampal theta oscillations in a full-scale model of the rodent CA1 circuit","2016"
"Model-based spatial navigation in the hippocampus-ventral striatum circuit: A computational analysis","2018"
"Simulation studies of the CA3 hippocampal subfield modelled as an attractor neural network","1997"
"Sensory gating in a computer model of the CA3 neural network of the hippocampus","1996"
"Nucleus accumbens, entorhinal cortex and latent inhibition: a neural network model","2001"
"A multi-model deep convolutional neural network for automatic hippocampus segmentation and classification in Alzheimer's disease","2020"
"Circuit analysis of NMDAR hypofunction in the hippocampus, in vitro, and psychosis of schizophrenia","2001"
"Possible implication of the CA2 hippocampal circuit in social cognition deficits observed in the neuroligin 3 knock-out mouse, a non-syndromic animal model of Autism","2019"
"MA Gluck, CE Myers - 2001 - books.google.com","0"
"Linking context with reward: a functional circuit from hippocampal CA3 to ventral tegmental area","2011"
"A dissociation of encoding and retrieval processes in the human hippocampus","2005"
"Context codes and the effect of noisy learning on a simplified hippocampal CA3 model","1996"
"Modulation of an inhibitory circuit by adenosine and AMP in the hippocampus","1982"
"A hippocampus-neocortex model for chaotic association","2007"
"Reciprocal interactions between CA3 network activity and strength of recurrent collateral synapses","1999"
"Why avoid the hippocampus? A comprehensive review","2010"
"A computational simulation of long-term synaptic potentiation inducing protocol processes with model of CA3 hippocampal microcircuit","2018"
"Encoding and retrieval in the CA3 region of the hippocampus: a model of theta-phase separation","2005"
"The hippocampus in schizophrenia: lateralized increase in neuronal density and altered cytoarchitectural asymmetry","1997"
"Toward a full-scale computational model of the rat dentate gyrus","2012"
"Behavioral functions of the CA3 subregion of the hippocampus","2007"
"Structural plasticity in the dentate gyrus-revisiting a classic injury model","2013"
"A spiking neural network of the CA3 of the hippocampus can be a neural prosthesis for lost cognitive functions","2007"
"A memristive plasticity model of voltage-based STDP suitable for recurrent bidirectional neural networks in the hippocampus","2018"
"A chaotic model of hippocampus-neocortex","2005"
"Role of mossy fiber sprouting and mossy cell loss in hyperexcitability: a network model of the dentate gyrus incorporating cell types and axonal topography","2005"
"Functional Connectivity between Hippocampus and Lateral Septum is Affected in Very Young Alzheimer's Transgenic Mouse Model","2019"
"Signaling diversity of PKA achieved via a Ca 2+-cAMP-PKA oscillatory circuit","2011"
"Learning in a unitary coherent hippocampus","2010"
"Control of CA3 place fields by the dentate gyrus: A neural network model","1997"
"Robotic and neuronal simulation of the hippocampus and rat navigation","1997"
"Alterations of hippocampal and prefrontal GABAergic interneurons in an animal model of psychosis induced by NMDA receptor antagonism","2007"
"Modeling the dentate gyrus","2007"
"Path integration and cognitive mapping in a continuous attractor neural network model","1997"
"Hippocampus function modeling with neural network","2009"
"","0"
"A neural circuit model for a contextual association task inspired by recommender systems","2020"
"Electrophysiology of CA1 pyramidal neurons in an animal model of neuronal migration disorders: prenatal methylazoxymethanol treatment","1995"
"Reduced efficacy of the KCC2 cotransporter promotes epileptic oscillations in a subiculum network model","2016"
"A biologically based model of functional properties of the hippocampus","1994"
"Slow and fast inhibition and an H-current interact to create a theta rhythm in a model of CA1 interneuron network","2005"
"A latent attractors model of context selection in the dentate gyrus–hilus system","1999"
"Altered network timing in the CA3-CA1 circuit of hippocampal slices from aged mice","2013"
"Effects of TRPV1 activation on synaptic excitation in the dentate gyrus of a mouse model of temporal lobe epilepsy","2010"
"A computational model for preplay in the hippocampus","2013"
"Modeling of context-dependent retrieval in hippocampal region CA1: implications for cognitive function in schizophrenia","2007"
"The hippocampus and schizophrenia","2004"
"Pharmacotherapy with fluoxetine restores functional connectivity from the dentate gyrus to field CA3 in the Ts65Dn mouse model of down syndrome","2013"
"The reduced neuropil hypothesis: a circuit based model of schizophrenia","1999"
"Learning in a geometric model of place cell firing","2007"
"Neuronal circuit‐dependent alterations in expression of two isoforms of glutamic acid decarboxylase in the hippocampus following electroconvulsive shock: A …","2009"
"Encoding and retrieval in a model of the hippocampal CA1 microcircuit","2010"
"Ketamine disrupts theta modulation of gamma in a computer model of hippocampus","2011"
"Population dynamics and theta rhythm phase precession of hippocampal place cell firing: a spiking neuron model","1996"
"Controlling hippocampal output: the central role of subiculum in hippocampal information processing","2006"
