evidence_ID,neurite_ID,type_ID,original_id,fragment_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
1,0,1008,0,1,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
2,0,1007,0,2,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
3,0,1036,0,3,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
4,0,1040,0,4,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
5,0,1008,0,5,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
6,0,1007,0,6,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
7,0,1002,0,7,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
8,0,1043,0,8,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
9,0,1002,0,9,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
10,0,1043,0,10,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
11,0,1008,0,11,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
12,0,1007,0,12,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
13,0,1035,0,13,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
14,0,1036,0,14,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
15,0,1010,0,15,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
