,Volumes,759922216.3,8229351456,4854926084,4118100000,7025688810
,Neuron ID,SLM,SR,SL,SP,SO
CA3 Pyramidal,2000,,258743856.7,,,117079550.2
,,15773259.39,26823449.36,850733.0573,780708.3985,19134672.49
CA3c Pyramidal,2004,,14935346.94,,,19058285.71
,,,12946612.24,808816.3265,2824163.265,8049469.388
CA3 Granule,2001,,,32150225.68,,
,,6443655.077,736534.6939,,,
CA3 Axo-Axonic,2028,,,,57671812.64,
,,4042366.563,7203412.131,4137976.405,3322880.575,15602824.44
CA3 Horizontal Axo-Axonic,2047,,,,216592450.9,
,,,,,,40850605.16
CA3 Basket,2043,,,,59152501.12,
,,5444237.089,17553856.14,2324637.916,4589435.677,8616373.889
CA3 Basket CCK+,2044,,,,101783550.8,
,,6024904.065,8325475.762,869762.7066,4234630.746,213564.1006
CA3 Bistratified,2045,,26075100.44,15658920.75,33422525.57,28728999.27
,,,8318891.527,6197361.213,3244749.817,7542594.96
CA3 Interneuron Specific Oriens,2021,,26412780.35,14951228.2,17701673.19,37475792.1
,,,,,,32153079.39
CA3 Ivy,2046,,34344674.48,14285782.49,15991305.06,16848524.4
,,,4420951.867,622071.9949,1484057.723,845841.1149
CA3 LMR-Targeting,2005,26413319.46,23109927.16,,,
,,38290613.94,8238418.314,304349.6358,,
CA3 Lucidum ORAX,2013,,26124008.54,41006653.93,22194186.69,26202962.49
,,,47607696.49,14345074.25,,
CA3 Lucidum-Radiatum,2014,,51427763.26,44186960.96,,
,,,36516826.84,34514385.57,,
CA3 Spiny Lucidum Dentate-Projecting,2019,,43892673.29,1625525.691,,
,,,,11297579.14,7827688.54,
CA3 Mossy Fiber-Associated,2036,,29916154.66,47258574.93,36247981.81,
,,,16478008.29,2198621.594,3611136.541,
CA3 Mossy Fiber-Associated ORDEN,2035,,,219708161.2,137908057.9,
,,,19693956.61,3288997.934,53114023.76,9949638.43
CA3 O-LM,2009,13311164.02,18464882.77,,,24302313.54
,,,,,,40744526.68
CA3 QuadD-LM,2049,132863569.5,,,,
,,,20369171.57,1158103.214,149728.3839,67413422.36
CA3 Radiatum,2023,,120402084.2,,,
,,,48128468.98,,,
CA3 R-LM,2008,35618293.85,,,,
,,,46777319.24,,,
CA3 SO-SO,2022,,,,,89953446.53
,,,,,,31406230.27
CA3 Trilaminar,2020,,21062223.48,6984297.052,13229793.4,21864188.71
,,,,,,93022833.21
