,Volumes,9518233055,4759116527,3174600000,2854859699
,Neuron ID,SMo,SMi,SG,H
DG Granule,1000,,,,85681348.19
,,29868963.17,4753505.027,,
DG Hilar Ectopic Granule,1041,,,,30728192
,,44766208,14309376,,62966784
DG Semilunar Granule,1001,,1686732.413,36844996.71,16350352.84
,,31549778.65,5745385.346,,
DG Mossy,1002,,287263821.2,,178360380.7
,,,,,79152437.17
DG Mossy MOLDEN,1043,,512396.6942,,155975206.6
,,36464991.82,15319926.1,10146743.4,76538044.98
DG AIPRIM,1027,,82526376.4,44876822.28,34856663.97
,,11787847.64,4912698.157,22253508.77,23059211.09
DG Axo-Axonic,1010,,,57665110.6,24835104.85
,,23602484.92,4333668.486,1930048.837,4177247.917
DG Basket,1035,,,14153338.24,
,,7586159.509,1304011.019,1881996.705,2486809.058
DG Basket CCK+,1036,,,19592396.69,
,,7157245.179,2949862.259,3970688.705,10832506.89
DG HICAP,1009,,29189714.26,,
,,12936144,11469431.88,4471091.354,8639322.543
DG HIPP,1013,203340876.3,,,
,,,,,29563827.83
DG HIPROM,1026,,72228717.99,30619860.6,42820111.21
,,,15143276.69,9859973.373,
DG MOCAP,1040,91965172.46,46473654.48,,
,,54711207.94,30622362.72,,36257606.29
DG MOLAX,1005,111354032.3,,,
,,3152708.915,,,
DG MOPP,1008,3011705.539,,,
,,365787.172,,,
DG Neurogliaform,1007,19098333.86,,,
,,3352877.87,3932955.995,8419802.296,9873883.929
DG Outer Molecular Layer,1006,66840577.17,46843734.92,,22616376.47
,,10068681.2,3069163.633,,18326915.49
DG Total Molecular Layer,1004,93732745.3,59806192.81,81774317.93,61626125.92
,,,34584375.99,36074623.97,19575793.98
