From (presynaptic type),To (postsynaptic type)
DG Granule,DG Hilar Ectopic Granule
DG Granule,DG Mossy
DG Granule,DG Mossy MOLDEN
DG Granule,DG AIPRIM
DG Granule,DG Axo-Axonic
DG Granule,DG Basket
DG Granule,DG BC CCK+
DG Granule,DG HICAP
DG Granule,DG HIPP
DG Granule,DG HIPROM
DG Granule,DG MOLAX
DG Granule,DG Outer Molecular Layer
DG Granule,DG Total Molecular Layer
DG Granule,CA3 Pyramidal
DG Granule,CA3c Pyramidal
DG Granule,CA3 Axo-Axonic
DG Granule,CA3 Basket
DG Granule,CA3 BC CCK+
DG Granule,CA3 Bistratified
DG Granule,CA3 IS Quad
DG Granule,CA3 Ivy
DG Granule,CA3 LMR-Targeting
DG Granule,CA3 Lucidum LAX
DG Granule,CA3 Lucidum ORAX
DG Granule,CA3 Lucidum-Radiatum
DG Granule,CA3 Spiny Lucidum
DG Granule,CA3 Mossy Fiber-Associated
DG Granule,CA3 MFA ORDEN
DG Granule,CA3 QuadD-LM
DG Granule,CA2 Pyramidal
DG Granule,CA2 Basket
DG Granule,CA2 Wide-Arbor BC
DG Granule,CA2 Bistratified
DG Hilar Ectopic Granule,DG Hilar Ectopic Granule
DG Hilar Ectopic Granule,DG Mossy
DG Hilar Ectopic Granule,DG Mossy MOLDEN
DG Hilar Ectopic Granule,DG AIPRIM
DG Hilar Ectopic Granule,DG Axo-Axonic
DG Hilar Ectopic Granule,DG Basket
DG Hilar Ectopic Granule,DG BC CCK+
DG Hilar Ectopic Granule,DG HICAP
DG Hilar Ectopic Granule,DG HIPP
DG Hilar Ectopic Granule,DG HIPROM
DG Hilar Ectopic Granule,DG MOLAX
DG Hilar Ectopic Granule,DG Outer Molecular Layer
DG Hilar Ectopic Granule,DG Total Molecular Layer
DG Hilar Ectopic Granule,CA3 Pyramidal
DG Hilar Ectopic Granule,CA3c Pyramidal
DG Hilar Ectopic Granule,CA3 Axo-Axonic
DG Hilar Ectopic Granule,CA3 Basket
DG Hilar Ectopic Granule,CA3 BC CCK+
DG Hilar Ectopic Granule,CA3 Bistratified
DG Hilar Ectopic Granule,CA3 IS Quad
DG Hilar Ectopic Granule,CA3 Ivy
DG Hilar Ectopic Granule,CA3 LMR-Targeting
DG Hilar Ectopic Granule,CA3 Lucidum LAX
DG Hilar Ectopic Granule,CA3 Lucidum ORAX
DG Hilar Ectopic Granule,CA3 Lucidum-Radiatum
DG Hilar Ectopic Granule,CA3 Spiny Lucidum
DG Hilar Ectopic Granule,CA3 Mossy Fiber-Associated
DG Hilar Ectopic Granule,CA3 MFA ORDEN
DG Hilar Ectopic Granule,CA3 QuadD-LM
DG Semilunar Granule,DG Granule
DG Semilunar Granule,DG Hilar Ectopic Granule
