Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,,,
"Acsödy L, Kamondi A, Sêk A, Freund T, Buzsöki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig1.pdf,figure,612032,,,,
"Acsödy L, Kamondi A, Sêk A, Freund T, Buzsöki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig2A.pdf,figure,612034,,,,
"Acsödy L, Kamondi A, Sêk A, Freund T, Buzsöki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig8.pdf,figure,612036,,,,
"Acsödy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,Acsady-Freund-1996-299-Neurosc-Fig2.pdf,figure,612040,,,,
"Acsödy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,Acsady-Freund-1996-299-Neurosc-Fig2.pdf,figure,612040,,,,
"Acsödy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,Acsady-Freund-1996-299-Neurosc-Fig2.pdf,figure,612040,,,,
"Acsödy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,Acsady-Freund-1996-299-Neurosc-Fig3.pdf,figure,612041,,,,
"Acsödy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,Acsady-Freund-1996-299-Neurosc-Fig3.pdf,figure,612041,,,,
"Acsödy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,Acsady-Freund-1996-299-Neurosc-Fig3.pdf,figure,612041,,,,
"Acsödy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4020,Acsady-Freund-1996-317-Neurosci-Fig1A-B.pdf,figure,611012,,,,
"Acsödy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,Acsady-Freund-1996-317-Neurosci-Fig2.pdf,figure,611013,,,,
"Acsödy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4020,Acsady-Freund-1996-317-Neurosci-Fig9A.pdf,figure,611015,,,,
"Acsödy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,Acsady-Freund-1996-317-Neurosci-Fig9B.pdf,figure,611015,,,,
"Ali AB, Thomson AM ","Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rathippocampus",J Physiol (Lond),1998,9490837,4069,Ali-Thomson-1998-185-JPhysiol-Fig3A-B.pdf,figure,612045,,,,
"Ali AB, Thomson AM ","Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rathippocampus",J Physiol (Lond),1998,9490837,4069,Ali-Thomson-1998-185-JPhysiol-Fig3AC.pdf,figure,612045,,,,
"Ali AB, Thomson AM ","Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rathippocampus",J Physiol (Lond),1998,9490837,4069,Ali-Thomson-1998-185-JPhysiol-Fig5A.pdf,figure,612048,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1010,Amaral-Lavenex_-2007-37-THB-Fig17.pdf,figure,"611660, 611662, 611664, 611666, 611668, 611670",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1033,Amaral-Lavenex_-2007-37-THB-Fig17.pdf,figure,"611660, 611662, 611664, 611666, 611668, 611670",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1009,Amaral-Lavenex_-2007-37-THB-Fig17.pdf,figure,"611660, 611662, 611664, 611666, 611668, 611670",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1008,Amaral-Lavenex_-2007-37-THB-Fig17.pdf,figure,"611660, 611662, 611664, 611666, 611668, 611670",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1013,Amaral-Lavenex_-2007-37-THB-Fig17.pdf,figure,"611660, 611662, 611664, 611666, 611668, 611670",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1000,Amaral-Lavenex_-2007-37-THB-Fig17.pdf,figure,"611660, 611662, 611664, 611666, 611668, 611670",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1002,Amaral-Lavenex_-2007-37-THB-Fig18.pdf,figure,611684,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,6003,Amaral-Lavenex_-2007-37-THB-Fig19.pdf,figure,611690,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1000,Amaral-Lavenex_-2007-37-THB-Fig22.pdf,figure,611698,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,2000,Amaral-Lavenex_-2007-37-THB-Fig24.pdf,figure,611714,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,3000,Amaral-Lavenex_-2007-37-THB-Fig25.pdf,figure,611716,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4000,Amaral-Lavenex_-2007-37-THB-Fig26.pdf,figure,611720,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4000,Amaral-Lavenex_-2007-37-THB-Fig28.pdf,figure,"611722, 611724, 611726, 611728, 611730, 611732, 611734",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,4036,Amaral-Lavenex_-2007-37-THB-Fig28.pdf,figure,"611722, 611724, 611726, 611728, 611730, 611732, 611734",,,,
